Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;16/07/2020;Direito de Subscrição;CVCB1 - CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.    ;INTER DTVM LTDA;15;-;-
Credito;16/07/2020;Rendimento;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;20; RR$	0,62 ; RR$	12,40 
Credito;16/07/2020;Transferência - Liquidação;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;4; RR$	10,89 ; RR$	43,56 
Credito;15/07/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;2; RR$	0,47 ; RR$	0,94 
Credito;15/07/2020;Transferência - Liquidação;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;1; RR$	5,74 ; RR$	5,74 
Credito;14/07/2020;Rendimento;BBPO11 - BB PROGRESSIVO II FDO INV IMOB - FII              ;INTER DTVM LTDA;10; RR$	1,06 ; RR$	10,57 
Credito;14/07/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;30; RR$	0,40 ; RR$	12,00 
Credito;14/07/2020;Rendimento;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;170; RR$	0,07 ; RR$	11,90 
Credito;10/07/2020;Transferência - Liquidação;CVCB3 - CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.    ;INTER DTVM LTDA;50; RR$	20,00 ; RR$	1.000,00 
Debito;09/07/2020;Transferência - Liquidação;CVCB3 - CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.    ;INTER DTVM LTDA;50; RR$	20,44 ; RR$	1.022,00 
Credito;07/07/2020;Direito de Subscrição;BIDI2 - BANCO INTER S.A.                                  ;INTER DTVM LTDA;0;-;-
Credito;07/07/2020;Rendimento;HSML11 - HSI MALL FDO INV IMOB                             ;INTER DTVM LTDA;9; RR$	0,18 ; RR$	1,62 
Credito;03/07/2020;Transferência - Liquidação;CVCB3 - CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.    ;INTER DTVM LTDA;50; RR$	18,88 ; RR$	944,00 
Credito;03/07/2020;Transferência - Liquidação;ITSA4 - ITAUSA S.A.                                       ;INTER DTVM LTDA;50; RR$	9,83 ; RR$	491,50 
Credito;01/07/2020;Dividendo;ITSA4 - ITAUSA INVESTIMENTOS ITAU S.A.                    ;INTER DTVM LTDA;30; RR$	0,02 ; RR$	0,60 
Credito;18/06/2020;Transferência - Liquidação;CVCB3 - CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.    ;INTER DTVM LTDA;50; RR$	21,95 ; RR$	1.097,50 
Debito;18/06/2020;Transferência - Liquidação;IVVB11 - ISHARES S&P 500 FDO INV COTAS FDO INDICE          ;INTER DTVM LTDA;6; RR$	171,53 ; RR$	1.029,18 
Credito;17/06/2020;Rendimento;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;20; RR$	0,60 ; RR$	12,00 
Credito;16/06/2020;Transferência - Liquidação;HSML11 - HSI MALL FDO INV IMOB                             ;INTER DTVM LTDA;8; RR$	89,20 ; RR$	713,60 
Credito;15/06/2020;Rendimento;BBPO11 - BB PROGRESSIVO II FDO INV IMOB - FII              ;INTER DTVM LTDA;10; RR$	1,06 ; RR$	10,57 
Credito;15/06/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;30; RR$	0,40 ; RR$	12,00 
Credito;15/06/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;2; RR$	0,47 ; RR$	0,94 
Credito;15/06/2020;Rendimento;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;114; RR$	0,07 ; RR$	7,98 
Debito;12/06/2020;Transferência - Liquidação;AZUL4 - AZUL S.A.                                         ;INTER DTVM LTDA;86; RR$	27,19 ; RR$	2.338,34 
Credito;12/06/2020;Transferência - Liquidação;DIRR3 - DIRECIONAL ENGENHARIA S.A.                        ;INTER DTVM LTDA;18; RR$	11,96 ; RR$	215,28 
Debito;12/06/2020;Transferência - Liquidação;HGTX3 - CIA HERING                                        ;INTER DTVM LTDA;116; RR$	16,45 ; RR$	1.908,20 
Credito;12/06/2020;Transferência - Liquidação;IVVB11 - ISHARES S&P 500 FDO INV COTAS FDO INDICE          ;INTER DTVM LTDA;23; RR$	169,24 ; RR$	3.892,52 
Credito;10/06/2020;Transferência - Liquidação;DIRR3 - DIRECIONAL ENGENHARIA S.A.                        ;INTER DTVM LTDA;84; RR$	11,99 ; RR$	1.007,16 
Credito;10/06/2020;Transferência - Liquidação;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;38; RR$	5,51 ; RR$	209,38 
Debito;10/06/2020;Transferência - Liquidação;VVAR3 - VIA VAREJO S.A.                                   ;INTER DTVM LTDA;99; RR$	15,08 ; RR$	1.492,92 
Credito;09/06/2020;Transferência - Liquidação;DIRR3 - DIRECIONAL ENGENHARIA S.A.                        ;INTER DTVM LTDA;17; RR$	12,14 ; RR$	206,38 
Credito;08/06/2020;Transferência - Liquidação;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;7; RR$	94,35 ; RR$	660,45 
Credito;08/06/2020;Transferência - Liquidação;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;56; RR$	10,92 ; RR$	611,52 
Credito;05/06/2020;Rendimento;HSML11 - HSI MALL FDO INV IMOB                             ;INTER DTVM LTDA;1; RR$	0,18 ; RR$	0,18 
Credito;28/05/2020;Transferência - Liquidação;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;4; RR$	10,58 ; RR$	42,32 
Credito;21/05/2020;Transferência - Liquidação;AZUL4 - AZUL S.A.                                         ;INTER DTVM LTDA;2; RR$	14,27 ; RR$	28,54 
Credito;21/05/2020;Transferência - Liquidação;DIRR3 - DIRECIONAL ENGENHARIA S.A.                        ;INTER DTVM LTDA;1; RR$	8,72 ; RR$	8,72 
Credito;21/05/2020;Transferência - Liquidação;ITSA4 - ITAUSA INVESTIMENTOS ITAU S.A.                    ;INTER DTVM LTDA;2; RR$	8,34 ; RR$	16,68 
Credito;21/05/2020;Transferência - Liquidação;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;8; RR$	3,81 ; RR$	30,48 
Credito;21/05/2020;Transferência - Liquidação;VVAR3 - VIA VAREJO S.A.                                   ;INTER DTVM LTDA;3; RR$	9,39 ; RR$	28,17 
Credito;19/05/2020;Transferência - Liquidação;BIDI4 - BANCO INTER S.A.                                  ;INTER DTVM LTDA;4; RR$	8,89 ; RR$	35,56 
Credito;19/05/2020;Transferência - Liquidação;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;1; RR$	89,97 ; RR$	89,97 
Credito;19/05/2020;Rendimento;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;12; RR$	0,60 ; RR$	7,20 
Credito;15/05/2020;Rendimento;BBPO11 - BB PROGRESSIVO II FDO INV IMOB - FII              ;INTER DTVM LTDA;5; RR$	1,06 ; RR$	5,28 
Credito;15/05/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;30; RR$	0,40 ; RR$	12,00 
Credito;15/05/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;2; RR$	0,48 ; RR$	0,96 
Credito;15/05/2020;Rendimento;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;100; RR$	0,07 ; RR$	7,00 
Debito;13/05/2020;Direitos de Subscrição - Não Exercido;MGFF12 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;0;-;-
Credito;12/05/2020;Transferência - Liquidação;BBPO11 - BB PROGRESSIVO II FDO INV IMOB - FII              ;INTER DTVM LTDA;5; RR$	150,40 ; RR$	752,00 
Credito;12/05/2020;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;2; RR$	85,99 ; RR$	171,98 
Debito;12/05/2020;Cessão de Direitos - Solicitada;MGFF12 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;1;-;-
Credito;12/05/2020;Cessão de Direitos;MGFF12 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;1;-;-
Credito;12/05/2020;Dividendo;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;72; RR$	0,02 ; RR$	1,25 
Credito;08/05/2020;Rendimento;HSML11 - HSI MALL FDO INV IMOB                             ;INTER DTVM LTDA;1; RR$	0,22 ; RR$	0,22 
Credito;07/05/2020;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;1; RR$	85,49 ; RR$	85,49 
Credito;06/05/2020;Transferência - Liquidação;HGTX3 - CIA HERING                                        ;INTER DTVM LTDA;62; RR$	14,47 ; RR$	897,14 
Debito;06/05/2020;Transferência - Liquidação;KLBN11 - KLABIN S.A.                                       ;INTER DTVM LTDA;50; RR$	17,90 ; RR$	895,00 
Credito;06/05/2020;Transferência - Liquidação;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;10; RR$	9,97 ; RR$	99,70 
Credito;04/05/2020;Transferência - Liquidação;BBPO11 - BB PROGRESSIVO II FDO INV IMOB - FII              ;INTER DTVM LTDA;5; RR$	149,20 ; RR$	746,00 
Debito;04/05/2020;Transferência - Liquidação;BRKM5 - BRASKEM S.A.                                      ;INTER DTVM LTDA;58; RR$	22,80 ; RR$	1.322,40 
Credito;04/05/2020;Transferência - Liquidação;HGTX3 - CIA HERING                                        ;INTER DTVM LTDA;63; RR$	15,90 ; RR$	1.001,70 
Credito;04/05/2020;Transferência - Liquidação;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;72; RR$	4,21 ; RR$	303,12 
Credito;28/04/2020;Transferência - Liquidação;DIRR3 - DIRECIONAL ENGENHARIA S.A.                        ;INTER DTVM LTDA;13; RR$	8,86 ; RR$	115,18 
Credito;24/04/2020;Direito de Subscrição;MGFF12 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;1;-;-
Credito;23/04/2020;Transferência - Liquidação;BRKM5 - BRASKEM S.A.                                      ;INTER DTVM LTDA;58; RR$	20,99 ; RR$	1.217,42 
Debito;23/04/2020;Transferência - Liquidação;SULA11 - SUL AMERICA S.A.                                  ;INTER DTVM LTDA;27; RR$	46,19 ; RR$	1.247,13 
Credito;22/04/2020;Transferência - Liquidação;KLBN11 - KLABIN S.A.                                       ;INTER DTVM LTDA;32; RR$	15,84 ; RR$	506,88 
Credito;22/04/2020;Transferência - Liquidação;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;100; RR$	9,99 ; RR$	999,00 
